product_name,comment_date,account_name,comment,rating,comment_type,taste,texture,price,similarity_with_original_meat_product ,cooking_complexity,cooking_time,insights_on_improvements_on_taste,insights_on_improvement_on_texture,commen_about_taste,comment_about_texture,chance_of_repurchase,features_mentioned ,website
What the cluck,23/07/2021,vegpledge,"Wow this was soooo tasty! The texture is just like #chicken, the flavour is fantasticand it takes hardly any time to cook! £1 cheaper than This chicken pieces in #sainsburys at the moment and in my opinion much more realistic and yummy. This will now be my go to #veganchicken - I’m very impressed and could eat this every day! ",4.5,positive,good,good,low,high,,low,FALSE,FALSE,fanstastic,just like chicken,TRUE,"taste, texture, price, similarity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,19/05/2020,jamesallnutt,"This is a great “chicken” alternative from #TheVegetarianButcher that I picked up from #Coop in the UK. It’s chilled and quick and easy to cook - goes well in a bagel, pitta, wrap - anywhere you’d normally use Chicken on a non-vegan diet. Taste wise it’s nice! Browns and crisps up nicely and doesn’t have a soya or heavy chemical taste. Would recommend to people trying to introduce others to vegan options",4.5,positive,good,good,,,easy,low,FALSE,FALSE,Nice. Doesn't have a soya or heavy chemical taste,Browns and crisps up nicely,,"taste, texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,10/06/2022,nickyv,"This is goooood, on a par with the best chicken alternatives in South Africa. There is firmness, taste - quite mellow, creamy.",5.0,positive,good,good,,,,,FALSE,FALSE,There is taste,"firminess, quite mellow, creamy",,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,27/02/2021,supersupergirl,"The vegetarian butcher as the same suggests offers a vegetarian range of meat alternatives such as willies, burgers, meatballs and mock chicken. While the rest are vegetarian, the mock chicken is vegan. I got my hands on a free sample Thanks to their sponsored ad on Facebook which was collected at Coop. The voucher is used at designated stores and you have to use it within 10 minutes of activation which means you can only activated one you are at the store and have the product in your hands otherwise the voucher will become useless. Anyway, I found the too chewy but tasted good in curry sauce because the curry sauce was good. Still to try are the meatballs which I haven't tried yet.",3.0,neutral,good,bad,,,,,FALSE,TRUE,Tasted good in curry sause because de curry sauce was good,Too chewy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,17/07/2021,hollya113,"I absolutely love these chicken pieces, they are so versatile! Here I fried them with some onion, mushroom and garlic and put them in some vegan Mayo with herbs and paprika. Then laid on a baguette some salad and raw yellow pepper and put the chicken mix on top. So delicious! ",5.0,positive,good,,,,,,FALSE,FALSE,So delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,15/07/2021,thespecialk8,"Great product, yummy but very salty, I only bought because it was on offer from £3.30 down to £2.",3.5,positive,good,,high,,,,TRUE,FALSE,Yummy but very salty,,,"taste, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,01/06/2021,ragamuffin,"Found in Sainsbury's. I absolutely love this chicken, it's so convincing and holds its texture no matter how you cook it? Stick in a curry and slow cook it for a few hours and it'll come out intact and delicious! At £3 a pack though I wish it was just a liiiiittle bit cheaper , but it's not enough to put me off buying it by any means",4.5,positive,,good,high,,,,FALSE,FALSE,,Holds its texture no matter how you cook it,TRUE,"texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,07/02/2022,doped,"Ooo these were really good!! Had these cut up small ish in a homemade chowmein with wholewheat noodles. Can’t comment on the taste alone since I marinated them, but they turned out amazing! The texture was great a bit chewy but not too much. Quite filling and quite healthy. You don’t get much in a pack though for £3.",4.0,positive,,good,high,,,,FALSE,TRUE,,a bit chewy,,"texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,25/11/2022,mtp,"Very simple and easy to cook if you’re after a quick addition to any meal.Packet says pan fry in 2 minutes I think, might need a bit longer if you don’t want it to taste too rubbery. I did really enjoy it though, and what I didn’t use yesterday I have on a sandwich today",4.0,positive,,bad,,,easy,low,FALSE,TRUE,,needs more time than what it is indicated on the packege if you don't want it to taste too rubbery,,"texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,04/05/2021,janxr,"An excellent meat substitute - great taste & texture, but with none of the risk of food poisoning of actual chicken! Soya based and similar to Oumph! 'The Chunk' but cooks more quickly as sold refrigerated rather than frozen, it browns nicely & doesn't fall apart in sauces. Perfect in curries, stir fries, burritos etc. A bit expensive at £2.75 for 160g (Tesco), but definitely worth getting especially when on offer.",4.5,positive,good,good,high,high,,low,FALSE,FALSE,great taste,great texture. it browns nicely and doesn't fall apart in sauces,TRUE,"taste, texture, price, similarity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
